JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458753.51318,14.797,0.052,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.08,Z,18.127,18.483,,V3890 SGR,VVS,STD,,,,
2458753.51360,14.137,0.036,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.08,Z,17.115,17.509,,V3890 SGR,VVS,STD,,,,
2458753.51399,14.143,0.033,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.08,Z,17.111,17.510,,V3890 SGR,VVS,STD,,,,
2458753.51435,11.968,0.029,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.08,Z,18.194,18.591,,V3890 SGR,VVS,STD,,,,
2458753.51463,11.970,0.026,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.08,Z,18.185,18.582,,V3890 SGR,VVS,STD,,,,
2458753.51498,12.540,0.017,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.08,Z,17.253,17.655,,V3890 SGR,VVS,STD,,,,
2458753.51524,12.559,0.017,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.08,Z,17.252,17.649,,V3890 SGR,VVS,STD,,,,
2458753.55116,14.755,0.057,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.21,Z,18.180,18.535,,V3890 SGR,VVS,STD,,,,
2458753.55154,14.653,0.059,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.22,Z,18.189,18.527,,V3890 SGR,VVS,STD,,,,
2458753.55197,14.080,0.031,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.22,Z,17.149,17.536,,V3890 SGR,VVS,STD,,,,
2458753.55236,14.101,0.037,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.22,Z,17.154,17.542,,V3890 SGR,VVS,STD,,,,
2458753.55272,11.990,0.032,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.22,Z,18.218,18.635,,V3890 SGR,VVS,STD,,,,
2458753.55299,11.997,0.031,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.22,Z,18.210,18.624,,V3890 SGR,VVS,STD,,,,
2458753.55333,12.568,0.019,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.22,Z,17.288,17.673,,V3890 SGR,VVS,STD,,,,
2458753.55360,12.535,0.016,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.23,Z,17.284,17.679,,V3890 SGR,VVS,STD,,,,
2458753.58106,14.139,0.034,,V,MBRB,,130,120,,,0,3.378,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58127,14.143,0.035,,V,MBRB,,130,120,,,0,3.383,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58148,14.182,0.036,,V,MBRB,,130,120,,,0,3.388,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58167,14.154,0.035,,V,MBRB,,130,120,,,0,3.393,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58188,14.181,0.036,,V,MBRB,,130,120,,,0,3.399,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58209,14.151,0.034,,V,MBRB,,130,120,,,0,3.404,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58237,14.131,0.036,,V,MBRB,,130,120,,,0,3.411,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58265,14.126,0.035,,V,MBRB,,130,120,,,0,3.419,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58290,14.145,0.034,,V,MBRB,,130,120,,,0,3.425,Z,13.029,12.011,,V3890 SGR,,STD,,,,
