JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455820.00208,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455820.93611,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455820.9431,<15.0,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455821.76042,<14.5,,,Vis.,LMK,K,14.21,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455821.95208,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455822.96875,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455822.9917,<14.0,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455823.05000,<12.0,,,TG,KBJ,,120,,2132aen,""" Unfiltered DSLR, vis est """,,,Z,,,,V745 SCO,,STD,,,,
2455823.79167,<11.5,,,Vis.,LMK,U,113,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455823.91806,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455824.9229,<14.4,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455825.9063,<14.2,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455825.91944,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455826.9326,<14.4,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455826.9799,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2455827.77083,<14.5,,,Vis.,LMK,K,14.21,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455827.91597,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455828.0736,<14.0,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455828.80694,<12.8,,,Vis.,LMK,UK,12.82,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455828.91250,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455829.91944,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
